Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,bl_impact,residuals
Mus cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial,20.343207122412675,-0.34320712241267515
Mus fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial,18.642176699791815,-3.642176699791815
Mus indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial,14.484102333385266,-1.484102333385266
Mus mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial,16.752142896879747,-1.7521428968797466
Mus musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,20.721213882995087,-1.7212138829950874
Mus pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,21.0992206435775,0.9007793564225004
Mus setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial,17.697159798335782,-2.6971597983357825
Mus setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial,14.295098953094062,-0.29509895309406176
Mus shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial,24.501281488819224,-3.501281488819224
Mus spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial,30.549389658137837,-14.549389658137837
Mus terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial,16.941146277170954,-1.9411462771709544
Mus vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial,21.66623078445112,0.3337692155488803
Myomyscus brockmani,104,21,30,23.7,31.1,15.2,3.73,Savanna,Terrestrial,23.745267967654396,-2.745267967654396
Myomyscus verreauxii,94,22,27,16.7,28,4.5,-33.25,Shrubland,Terrestrial,21.855234164742328,0.1447658352576724
Niviventer cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial,32.439423461049905,1.5605765389500945
Niviventer coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial,36.59749782745646,-2.5974978274564577
Niviventer eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial,26.39131529173129,4.6086847082687115
Niviventer hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial,30.549389658137837,-4.549389658137837
Niviventer niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial,29.982379517264217,0.017620482735782872
Niviventer rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial,29.037362615808185,0.9626373841918152
Notomys alexis,97,32,24,22.9,37.4,6.3,-25.02,Grassland,Terrestrial,22.422244305615948,9.577755694384052
Notomys aquilo,108,37,38,26.7,34.4,17.7,-13.94,Forest,Terrestrial,24.501281488819224,12.498718511180776
Notomys cervinus,108,34,40,23.8,38.6,6.8,-24.9,Desert,Terrestrial,24.501281488819224,9.498718511180776
Notomys fuscus,98,35,32,22.4,37.7,5.3,-27.74,Grassland,Terrestrial,22.611247685907156,12.388752314092844
Notomys mitchellii,112,37,50,17.8,30.4,3.5,-31.87,Shrubland,Terrestrial,25.25729500998405,11.742704990015952
Otomys angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial,33.38444036250594,-7.384440362505941
Otomys auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,NA,35.841484306291626,-6.841484306291626
Otomys barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial,35.46347754570922,-8.463477545709218
Otomys burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial,33.573443742797146,-3.5734437427971457
Otomys irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial,33.76244712308835,-4.76244712308835
Otomys karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial,29.415369376390597,-2.415369376390597
Otomys laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial,39.62155191211576,-9.621551912115763
Otomys occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial,31.116399799011457,-3.1163997990114574
Otomys sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial,28.09234571435215,-0.09234571435214889
Otomys tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial,37.7315181092037,-8.731518109203698
Otomys typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial,31.49440655959387,-6.49440655959387
Parahydromys asper,225,53,540,18.7,25.1,12,-5.77,Forest,Terrestrial,46.614676982890416,6.3853230171095845
Paraleptomys rufilatus,134,36,58,23.2,27.6,18.5,-3.19,Forest,Terrestrial,29.415369376390597,6.584630623609403
Paramelomys levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial,33.573443742797146,2.4265562572028543
Paramelomys lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial,33.76244712308835,1.23755287691165
Paramelomys mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial,29.982379517264217,5.017620482735783
Paramelomys platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial,25.068291629692844,1.931708370307156
Pelomys fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial,31.872413320176285,0.12758667982371463
Pelomys hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial,27.147328812896117,3.8526711871038835
Pelomys isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial,30.549389658137837,1.4506103418621628
Pelomys minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial,27.147328812896117,-3.1473288128961165
Petromyscus collinus,80,16,100,18.8,31.7,4.2,-26.4,Desert,Terrestrial,19.209186840665435,-3.209186840665435
Petromyscus shortridgei,83,16,19,21.6,32.7,8.1,-18.61,Savanna,Terrestrial,19.776196981539055,-3.776196981539055
Phloeomys cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal,83.0923293790933,-3.0923293790933
Phloeomys pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal,80.44628205501641,4.553717944983589
Pithecheir parvus,162,26,100,25.8,30.8,20.5,3.71,Forest,Arboreal,34.707464024544386,-8.707464024544386
Praomys daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial,24.690284869110428,-4.690284869110428
Praomys degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial,25.068291629692844,-0.06829162969284397
Praomys delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial,22.989254446489568,1.0107455535104322
Praomys derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial,22.422244305615948,-1.4222443056159477
Praomys hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial,27.714338953769737,-1.7143389537697367
Praomys misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial,25.25729500998405,-1.2572950099840483
Praomys morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial,25.635301770566464,-1.635301770566464
Praomys mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial,25.635301770566464,-3.635301770566464
Praomys obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial,26.95832543260491,0.041674567395091344
Praomys rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial,25.635301770566464,0.3646982294335359
Praomys tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial,26.39131529173129,0.6086847082687115
Praomys verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial,26.95832543260491,3.0416745673950913
Pseudohydromys carlae,96,21,15,15.4,21.9,9.2,-5.95,Forest,Terrestrial,22.23324092532474,-1.2332409253247398
Pseudohydromys ellermani,96,21,17,17.7,24.1,11.1,-5.58,Forest,Terrestrial,22.23324092532474,-1.2332409253247398
Pseudohydromys fuscus,96,22,19,17.8,24.5,10.7,-6.12,Forest,Terrestrial,22.23324092532474,-0.23324092532473983
Pseudohydromys germani,94,21,26,19.7,25.5,13.4,-9.77,Forest,Terrestrial,21.855234164742328,-0.8552341647423276
Pseudohydromys murinus,91,20,17,16.9,23.5,10.1,-6.53,Forest,Terrestrial,21.288224023868707,-1.2882240238687075
Pseudohydromys patriciae,100,20,22,13.5,19.9,7,-4.13,Forest,Terrestrial,22.989254446489568,-2.989254446489568
Pseudohydromys pumehanae,99,22,18,21.7,28.9,13.9,-6.57,Forest,Terrestrial,22.800251066198364,-0.8002510661983635
Pseudohydromys sandrae,102,21,20,24.5,31.3,17.3,-6.12,Forest,Terrestrial,23.367261207071984,-2.3672612070719836
Pseudomys albocinereus,85,22,28,17.7,30.1,3.9,-31.55,Shrubland,Terrestrial,20.154203742121467,1.8457962578785327
Pseudomys apodemoides,74,22,18,15.1,26.5,2.5,-36.23,Shrubland,Terrestrial,18.075166558918195,3.9248334410818053
Pseudomys australis,101,26,42,21.3,35.9,5,-28.5,Grassland,Terrestrial,23.178257826780776,2.8217421732192243
Pseudomys bolami,67,19,16,19.3,33.3,3.7,-30.21,Shrubland,Terrestrial,16.752142896879747,2.2478571031202534
Pseudomys calabyi,85,18,20,27.4,36,17,-13.14,Forest,Terrestrial,20.154203742121467,-2.1542037421214673
Pseudomys chapmani,60,16,12,25.2,39.6,8.4,-22.77,Grassland,Terrestrial,15.429119234841302,0.570880765158698
Pseudomys delicatulus,56,16,9,25,36,12.2,-18.68,Savanna,Terrestrial,14.673105713676474,1.326894286323526
Pseudomys desertor,88,21,22,22.7,36.8,6.7,-25.07,Grassland,Terrestrial,20.721213882995087,0.2787861170049126
Pseudomys fieldi,102,26,40,22.9,32.9,12.4,-25.23,Shrubland,Terrestrial,23.367261207071984,2.6327387929280164
Pseudomys fumeus,114,27,54,10.9,21.2,-0.6,-37.08,Forest,Terrestrial,25.635301770566464,1.364698229433536
Pseudomys gracilicaudatus,122,27,80,20.8,32.1,8.1,-24.2,Forest,Terrestrial,27.147328812896117,-0.14732881289611655
Pseudomys hermannsburgensis,70,17,13,22.8,37.3,6.4,-25.21,Grassland,Terrestrial,17.319153037753367,-0.3191530377533667
Pseudomys higginsi,130,32,70,10.3,18.4,1.1,-42.02,Forest,Terrestrial,28.65935585522577,3.340644144774231
Pseudomys johnsoni,66,16,13,26.2,38.4,11.9,-18.06,Savanna,Terrestrial,16.563139516588542,-0.5631395165885422
Pseudomys nanus,115,25,38,26.8,37.9,13.8,-16.38,Savanna,Terrestrial,25.82430515085767,-0.8243051508576684
Pseudomys novaehollandiae,78,21,20,15.7,25.8,4.2,-32.47,Forest,Terrestrial,18.831180080083023,2.1688199199169773
Pseudomys occidentalis,99,26,42,16.1,27.5,3.3,-33.37,Shrubland,Terrestrial,22.800251066198364,3.1997489338016365
Pseudomys oralis,145,31,88,15.9,26.5,3.8,-29.69,Forest,Terrestrial,31.49440655959387,-0.4944065595938696
Pseudomys patrius,67,18,14,21.9,33.5,8.7,-22.36,Savanna,Terrestrial,16.752142896879747,1.2478571031202534
Pseudomys pilligaensis,76,18,12,17.6,31.4,2.3,-30.75,Forest,Terrestrial,18.453173319500607,-0.4531733195006069
Pseudomys shortridgei,108,26,72,15.2,25.8,3.2,-34.63,Shrubland,Terrestrial,24.501281488819224,1.4987185111807761
Rattus baluensis,169,30,110,20.2,26.6,13.7,6.07,Forest,Terrestrial,36.03048768658284,-6.030487686582838
Rattus blangorum,144,32,82,19.4,25.2,14.2,3.94,Forest,Terrestrial,31.305403179302665,0.6945968206973347
Rattus colletti,160,30,138,27.2,35,18.1,-12.77,Grassland,Terrestrial,34.32945726396198,-4.329457263961977
Rattus everetti,222,46,355,25.7,31.6,19.6,11.95,Forest,Terrestrial,46.047666842016795,-0.047666842016795385
Rattus feliceus,215,46,308,25.5,30.3,20.2,-3.2,Forest,Terrestrial,44.724643179978344,1.2753568200216563
Rattus fuscipes,182,34,101,15.9,26.2,4.2,-32.34,Forest,Terrestrial,38.48753163036852,-4.487531630368522
Rattus hainaldi,133,30,81,20.3,25.5,14.6,-8.64,Forest,Terrestrial,29.22636599609939,0.7736340039006109
Rattus leucopus,158,35,94,26,32.1,19.2,-8.23,Forest,Terrestrial,33.95145050337956,1.0485494966204385
Rattus lutreolus,145,28,78,14.6,24,4,-35.06,Forest,Terrestrial,31.49440655959387,-3.4944065595938696
Rattus nikenii,172,38,134,27,31,22.7,0.46,Forest,Terrestrial,36.59749782745646,1.4025021725435423
Rattus norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial,40.18856205298938,-1.1885620529893828
Rattus rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial,34.707464024544386,-0.707464024544386
Rattus sordidus,169,31,165,25.1,33.4,15.9,-14.66,Forest,Terrestrial,36.03048768658284,-5.030487686582838
Rattus timorensis,157,30,112,19.9,26.2,12.9,-9.56,Forest,Terrestrial,33.76244712308835,-3.76244712308835
Rattus tunneyi,136,29,84,24.5,34.6,12.7,-18.48,Savanna,Terrestrial,29.79337613697301,-0.7933761369730092
Rattus vandeuseni,125,31,60,18.4,24.1,12.2,-9.82,Forest,Terrestrial,27.714338953769737,3.2856610462302633
Rattus villosissimus,151,33,144,24.2,37.8,8.6,-22.16,Grassland,Terrestrial,32.62842684134111,0.3715731586588902
Rhabdomys dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,NA,25.068291629692844,-4.068291629692844
Rhabdomys intermedius,111,25,44,16,30.4,-0.1,-31.39,Grassland,NA,25.068291629692844,-0.06829162969284397
Steatomys caurinus,105,16,45,27.4,36.3,17,11.51,Shrubland,Terrestrial,23.934271347945604,-7.934271347945604
Steatomys cuppedius,72,16,12,28,38.5,15.8,13.58,Savanna,Terrestrial,17.697159798335782,-1.6971597983357825
Steatomys jacksoni,101,18,25,26.4,32.8,18.9,7.56,Artificial Terrestrial,Terrestrial,23.178257826780776,-5.178257826780776
Steatomys opimus,120,19,40,24.4,30.6,17.4,4.58,Forest,Terrestrial,26.769322052313704,-7.769322052313704
Steatomys parvus,76,15,13,21.7,31,10.2,-10.29,Savanna,Terrestrial,18.453173319500607,-3.453173319500607
Steatomys pratensis,88,16,24,22,31.8,10.4,-12.88,Savanna,Terrestrial,20.721213882995087,-4.721213882995087
Stenocephalemys albipes,132,27,59,19,27.5,9.7,8.99,Savanna,Terrestrial,29.037362615808185,-2.037362615808185
Stenocephalemys albocaudata,164,32,130,12.5,20.4,3.8,7.21,Shrubland,Terrestrial,35.0854707851268,-3.0854707851268017
Stenocephalemys griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial,33.19543698221473,-3.19543698221473
Taeromys arcuatus,215,47,227,19.9,25.4,14.2,-1.8,Forest,Terrestrial,44.724643179978344,2.2753568200216563
Taeromys callitrichus,234,53,319,23.1,28,18.2,0.19,Forest,Terrestrial,48.315707405511276,4.684292594488724
Taeromys celebensis,224,50,253,24.7,29.6,19.6,-1.32,Forest,Scansorial,46.425673602599204,3.574326397400796
Taeromys hamatus,198,44,182,18.2,23.9,12.4,-2.17,Forest,Terrestrial,41.511585715027834,2.4884142849721655
Taterillus arenarius,121,31,42,29,41.2,14.8,17.34,Desert,Terrestrial,26.95832543260491,4.041674567395091
Taterillus congicus,120,30,49,25.5,32.9,16.7,6.85,Savanna,Terrestrial,26.769322052313704,3.2306779476862957
Taterillus gracilis,119,31,55,27.4,36.7,16.5,11.76,Savanna,Terrestrial,26.580318672022496,4.419681327977504
Taterillus lacustris,116,31,46,28.1,39.5,14.7,12.31,Savanna,Terrestrial,26.013308531148876,4.986691468851124
Taterillus petteri,114,30,50,28.9,39.7,16.2,14.66,Grassland,Terrestrial,25.635301770566464,4.364698229433536
Taterillus tranieri,124,31,47,29.2,41.8,15.4,15.87,Grassland,Terrestrial,27.52533557347853,3.4746644265214712
Thallomys loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial,31.305403179302665,-4.305403179302665
Thallomys nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial,29.604372756681805,-4.604372756681805
Thallomys paedulcus,140,25,72,22.2,31.6,11.1,-12.23,Shrubland,Scansorial,30.549389658137837,-5.549389658137837
Tokudaia muenninki,149,34,148,21.9,29.9,13.2,26.74,Forest,Terrestrial,32.2504200807587,1.7495799192412989
Uromys caudimaculatus,295,61,868,24.2,30.1,17.8,-6.31,Forest,Scansorial,59.84491360327488,1.1550863967251175
Uromys hadrourus,178,38,172,21,28.2,12.6,-16.44,Forest,Scansorial,37.7315181092037,0.268481890796302
Zyzomys argurus,100,21,36,25.5,36.8,12.4,-18.19,Savanna,Terrestrial,22.989254446489568,-1.9892544464895678
Zyzomys maini,118,27,125,27.1,36,16.8,-13.3,Forest,Terrestrial,26.39131529173129,0.6086847082687115
Zyzomys palatalis,165,28,125,25.9,37.1,13,-17.2,Savanna,Terrestrial,35.274474165418006,-7.274474165418006
Zyzomys pedunculatus,117,26,65,20.6,34.7,4.6,-23.68,Shrubland,Terrestrial,26.202311911440084,-0.2023119114400842
Zyzomys woodwardi,138,28,145,26.9,36,15.8,-15.4,Savanna,Terrestrial,30.171382897555425,-2.171382897555425
