Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,blmass_impact,residuals
Carpomys melanurus,182,33,165,19.6,25.8,12.6,16.54,Forest,Arboreal,38.18176798833479,-5.181767988334791
Carpomys phaeurus,170,32,123,18.8,25.2,11.4,17.08,Forest,Arboreal,35.91260568252593,-3.9126056825259283
Chiropodomys major,104,24,42,26.4,31.9,20.9,3.56,Forest,Arboreal,23.83939375004337,0.1606062499566292
Chiruromys forbesi,121,29,73,24.6,30.1,18.6,-8.83,Forest,Arboreal,26.976676007540686,2.0233239924593143
Chiruromys vates,110,24,46,24.9,31.6,17.6,-7.45,Forest,Arboreal,24.92782775134164,-0.9278277513416384
Chrotomys gonzalesi,167,36,122,24.2,29.4,18.3,13.69,Forest,Terrestrial,35.37110322020657,0.6288967797934291
Chrotomys sibuyanensis,160,34,104,24.1,29.5,18.5,12.41,Forest,Terrestrial,34.06506970762827,-0.06506970762826825
Chrotomys silaceus,148,35,84,18.9,25.3,11.6,17.07,Forest,Terrestrial,31.855627245074448,3.144372754925552
Chrotomys whiteheadi,190,43,238,21.9,28.3,14.7,17.04,Forest,Terrestrial,39.81669708371389,3.1833029162861095
Crateromys heaneyi,280,64,124,25.1,30.9,19.3,11.26,Forest,Arboreal,55.67087743380706,8.329122566192943
Crateromys schadenbergi,336,72,1450,18.6,25,11.4,16.85,Forest,Arboreal,69.32772984022704,2.672270159772964
Crunomys celebensis,141,26,45,18.9,24.6,13.2,-2.34,Forest,Terrestrial,30.492588427570883,-4.492588427570883
Crunomys melanius,110,26,54,25.6,31.8,19.4,7.33,Forest,Terrestrial,24.949544057979836,1.0504559420201645
Crunomys suncoides,108,27,37,20.3,27.2,12.8,8.13,Forest,Terrestrial,24.544204957047274,2.455795042952726
Dasymys foxi,157,34,118,25,33.8,14.6,10.03,Savanna,Terrestrial,33.564285320255536,0.4357146797444642
Dasymys montanus,145,30,85,13.5,18.2,8.6,0.37,Forest,Terrestrial,31.31955385941464,-1.3195538594146399
Dasymys rufulus,144,33,78,26.5,33.6,18.1,8.73,Savanna,Terrestrial,31.120956116443026,1.8790438835569745
Dendromus insignis,84,20,14,15.1,20.9,8.9,0.98,Forest,Terrestrial,20.171467183545804,-0.17146718354580415
Dendromus kahuziensis,80,22,11,14.1,18.3,9.6,-2.2,Forest,Terrestrial,19.4449396699037,2.5550603300962997
Dendromus kivu,74,19,10,16.4,21.9,10.8,-1.32,Forest,Terrestrial,18.364649283594762,0.6353507164052381
Dendromus lovati,74,18,16,15.1,23.8,5.9,10.21,Grassland,Terrestrial,18.38093651357341,-0.38093651357340974
Dendromus melanotis,69,18,7,20.7,31.6,8,-16.18,Savanna,Terrestrial,17.458525795289468,0.5414742047105321
Dendromus messorius,60,17,8,23.3,29.5,16.5,3.42,Grassland,Terrestrial,15.844876561650496,1.155123438349504
Dendromus nyikae,67,17,10,21.2,31.2,9.3,-13.02,Savanna,Terrestrial,17.107477460952406,-0.10747746095240629
Dendromus oreas,69,19,11,21.6,26.8,16.4,4.42,Grassland,Terrestrial,17.469383948608566,1.5306160513914335
Dendromus ruppi,74,20,11,21.2,27.8,14.3,4.02,Forest,Terrestrial,18.367363821924535,1.6326361780754652
Deomys ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial,29.858355217141114,8.141644782858886
Dephomys defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal,27.80407788428252,-1.8040778842825205
Desmodillus auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial,24.748231776678438,0.25176822332156235
Desmomys harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial,29.6488993208504,-1.6488993208504006
Desmomys yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial,27.444885934956126,0.555114065043874
Dinomys branickii,760,NA,12500,23,28.9,16.6,-5.7,Forest,Terrestrial,175.47207164143066,NA
Echiothrix leucura,213,51,274,24.4,29,19.9,1.08,Forest,Terrestrial,44.04512788083924,6.954872119160761
Gerbilliscus boehmi,162,41,146,20.9,29.8,10.5,-9.52,Savanna,Terrestrial,34.538272266805194,6.461727733194806
Gerbilliscus gambiana,157,31,94,27.6,37.8,16.2,13.58,Savanna,Terrestrial,33.499136400340944,-2.4991364003409444
Gerbilliscus guineae,141,33,73,26.8,34.9,17.3,10.78,Savanna,Terrestrial,30.568595500804573,2.431404499195427
Gerbilliscus inclusus,156,41,116,23.6,32,14,-14.23,Savanna,Terrestrial,33.37926026893279,7.620739731067211
Gerbilliscus kempi,158,33,101,25.7,33.2,17,7.26,Savanna,Terrestrial,33.69773414331256,-0.6977341433125588
Gerbilliscus robustus,152,35,103,25.5,34.5,15.5,7.63,Savanna,Terrestrial,32.62558737199294,2.3744126280070574
Gerbilliscus validus,167,34,129,23.2,31.9,13.2,-4.73,Savanna,Terrestrial,35.39010498851499,-1.3901049885149916
Gerbillurus paeba,96,27,25,20.1,33.2,4.8,-24.5,Savanna,Terrestrial,22.356478801131654,4.643521198868346
Gerbillurus setzeri,106,32,37,20.2,29.8,9.6,-20.07,Desert,Terrestrial,24.185013007720887,7.814986992279113
Gerbillurus tytonis,99,33,25,18.7,29.5,6.4,-24.97,Desert,Terrestrial,22.895266725121235,10.104733274878765
Gerbillurus vallinus,94,30,36,19.1,33.4,2.9,-27.62,Desert,Terrestrial,22.027146773432783,7.972853226567217
Gerbillus amoenus,80,23,13,22.7,37.4,5.6,25.67,Desert,Terrestrial,19.45036874656325,3.5496312534367505
Gerbillus bottai,86,20,23,28.6,40.1,16.1,13.98,Artificial Terrestrial,Terrestrial,20.55508997784016,-0.5550899778401615
Gerbillus campestris,103,27,29,18.9,34.1,2.8,31.2,Desert,Terrestrial,23.62450877709311,3.3754912229068914
Gerbillus cosensis,100,26,32,25.1,32.1,17.8,2.27,Desert,Terrestrial,23.093864468092853,2.9061355319071467
Gerbillus dasyurus,91,25,24,23.3,38.6,5.7,26.8,Desert,Terrestrial,21.455784389485906,3.544215610514094
Gerbillus dunni,98,30,39,26.7,35.3,17.9,7.93,Shrubland,Terrestrial,22.753674287074887,7.246325712925113
Gerbillus floweri,117,35,54,20,33.9,3.8,29.89,Desert,Terrestrial,26.20671588062219,8.793284119377809
Gerbillus harwoodi,75,20,14,20.2,27.4,12.2,-3.01,Savanna,Terrestrial,18.555103411577054,1.4448965884229459
Gerbillus lowei,104,26,36,21.1,31.5,8.2,13,Rocky Areas,Terrestrial,23.823106520064727,2.1768934799352735
Gerbillus maghrebi,112,27,43,16.9,30.4,3.5,33.66,Grassland,Terrestrial,25.278876085678704,1.7211239143212964
Gerbillus nancillus,65,18,9,28.1,39.9,14.5,15.15,Grassland,Terrestrial,16.74557097329624,1.254429026703761
Gerbillus nigeriae,93,27,26,26.1,37.2,13.9,19.16,Desert,Terrestrial,21.820405415471843,5.179594584528157
Gerbillus percivali,75,20,14,22.6,30,14.8,-3.35,Savanna,Terrestrial,18.555103411577054,1.4448965884229459
Gerbillus perpallidus,107,33,36,20.6,33.5,5.7,30.38,Desert,Terrestrial,24.361894444054307,8.638105555945693
Gerbillus pusillus,66,20,15,25,32.8,16.9,4.13,Savanna,Terrestrial,16.941454177938084,3.058545822061916
Gerbillus rosalinda,97,25,28,27.4,38.5,15.3,12.3,Grassland,Terrestrial,22.544218390784174,2.4557816092158262
Gerbillus rupicola,101,26,36,28.2,40.2,15,15.41,Grassland,Terrestrial,23.284318596075146,2.7156814039248545
Gerbillus simoni,81,21,17,18.1,32.9,2.2,33.82,Desert,Terrestrial,19.640822874545545,1.3591771254544547
Grammomys aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal,25.63806803500509,-2.638068035005091
Grammomys caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal,22.544218390784174,-1.5442183907841738
Grammomys cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal,26.380882778625836,-2.3808827786258355
Grammomys dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal,25.257159779040506,-1.2571597790405065
Grammomys dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal,25.278876085678704,-1.2788760856787036
Grammomys ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal,26.72650203630335,-0.7265020363033514
Grammomys kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal,25.665213418302837,-0.6652134183028373
Grammomys macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal,23.99727341806837,0.002726581931629113
Hadromys yunnanensis,132,26,59,19.6,29.5,8.1,24.27,Unknown,Terrestrial,28.914228192218978,-2.914228192218978
Haeromys minahassae,76,20,14,24.8,29.5,20.1,0.54,Forest,Arboreal,18.734699386240248,1.2653006137597522
Hybomys badius,122,29,64,18.1,23.6,13.1,4.25,Forest,Terrestrial,27.131841137235906,1.8681588627640942
Hybomys basilii,137,31,86,19.7,24.9,15.1,3.48,Forest,Terrestrial,29.88550060043886,1.11449939956114
Hybomys planifrons,124,31,51,25.5,32.7,17.5,7.54,Forest,Terrestrial,27.455744088275225,3.5442559117247754
Hybomys trivirgatus,124,32,56,25.8,32,18.6,6.51,Forest,Terrestrial,27.469316779924096,4.530683220075904
Hybomys univittatus,114,29,51,24.1,29.7,18.1,0.14,Forest,Terrestrial,25.659784341643288,3.340215658356712
Hydromys chrysogaster,272,58,632,21.9,32.7,9.6,-21.7,Forest,Semi aquatic,55.613095108027,2.3869048919730034
Hylomyscus aeta,94,21,25,24,29.8,17.7,0.8,Forest,Arboreal,21.99728685180526,-0.99728685180526
Hylomyscus alleni,90,19,18,25,30.8,18.4,3.25,Forest,Arboreal,21.259901184844065,-2.2599011848440647
Hylomyscus anselli,101,21,28,20,29.7,8.5,-11.09,Forest,Arboreal,23.26260228943695,-2.2626022894369484
Hylomyscus arcimontensis,90,20,19,21.7,29.3,13.4,-7.05,Forest,Arboreal,21.262615723173838,-1.2626157231738375
Hylomyscus denniae,102,21,32,20.7,26.4,15,0.57,Forest,Arboreal,23.45305641741924,-2.4530564174192406
Hylomyscus endorobae,102,22,28,15.1,21.6,8,0.53,Forest,Arboreal,23.442198264100142,-1.442198264100142
Hylomyscus grandis,97,20,33,18.2,23.9,11.1,6.21,Forest,Arboreal,22.557791082433045,-2.557791082433045
Hylomyscus kerbispeterhansi,92,20,24,19.3,26.1,11.9,0.52,Forest,Arboreal,21.6353803641491,-1.6353803641490998
Hylomyscus parvus,67,15,13,24,29.7,17.8,3.11,Forest,Arboreal,17.11562107594173,-2.1156210759417284
Hylomyscus stella,85,17,20,22,27.6,16.3,0.24,Forest,Arboreal,20.367350388187646,-3.3673503881876456
Hylomyscus vulcanorum,95,20,22,17.4,23,11.5,-2.11,Forest,Arboreal,22.16873921147914,-2.1687392114791386
Leggadina forresti,87,14,19,22.9,37.3,6.5,-24.61,Grassland,Terrestrial,20.723827799184257,-6.7238277991842565
Leggadina lakedownensis,72,15,20,26.1,37.8,12.5,-18.02,Savanna,Terrestrial,18.03260271756612,-3.032602717566121
Leimacomys buettneri,118,23,30,25,31.8,16.8,8.26,Unknown,Terrestrial,26.321162935370797,-3.321162935370797
Lemniscomys barbarus,100,24,90,17,30.5,3.4,34.33,Shrubland,Terrestrial,23.25130769121978,0.7486923087802211
Lemniscomys bellieri,109,25,36,26.7,33.6,18.7,9.21,Savanna,Terrestrial,24.721086393380695,0.2789136066193052
Lemniscomys linulus,107,26,27,26.7,35.2,16.7,11.03,Savanna,Terrestrial,24.337463599086334,1.662536400913666
Lemniscomys rosalia,126,26,54,21.9,32.6,9,-17.66,Savanna,Terrestrial,27.82307965259094,-1.8230796525909412
Lemniscomys striatus,122,28,45,24.1,31,16.3,2.13,Savanna,Terrestrial,27.08026490897019,0.9197350910298105
Lemniscomys zebra,104,27,38,25.9,34.5,15.9,8,Savanna,Terrestrial,23.828535596724276,3.171464403275724
Lenomys meyeri,262,46,252,24,29,18.9,-1.67,Forest,Scansorial,52.785610796080704,-6.785610796080704
Lenothrix canus,192,34,150,26,31.3,20.5,3.41,Forest,Arboreal,39.93700966002012,-5.9370096600201165
Leopoldamys ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial,48.235118696449675,1.7648813035503252
Leopoldamys milleti,252,NA,425,20.3,26.9,13.3,12.15,Forest,Terrestrial,51.459266180499775,NA
Leopoldamys neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial,44.79652268434738,-2.79652268434738
Leporillus conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial,37.045441055838076,7.954558944161924
Leptomys elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial,33.45841832539433,2.5415816746056734
Leptomys ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial,30.171400014861334,7.828599985138666
Leptomys paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,NA,27.610909217970452,6.389090782029548
Leptomys signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial,31.84476909175535,8.15523090824465
Limnomys bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial,28.568608934541462,4.431391065458538
Limnomys sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial,28.02982101055188,1.9701789894481188
Lophuromys brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial,25.63806803500509,-4.638068035005091
Lophuromys chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial,28.201273370225753,-5.201273370225753
Lophuromys chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial,25.63806803500509,-4.638068035005091
Lophuromys cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial,27.09926667727861,-3.09926667727861
Lophuromys dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial,27.303293496909777,-5.303293496909777
Lophuromys luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial,23.45848549407879,-2.45848549407879
Lophuromys machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial,27.278862651941804,-6.278862651941804
Lophuromys makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial,27.629910986278876,-5.629910986278876
Lophuromys medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial,23.640796007071756,-2.6407960070717564
Lophuromys melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial,31.52629521737558,-8.52629521737558
Lophuromys menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial,29.314138216491983,-7.314138216491983
Lophuromys pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial,29.27613467987514,-5.276134679875138
Lophuromys rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial,23.45305641741924,-7.453056417419241
Lophuromys roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial,28.209416985215075,-6.209416985215075
Lophuromys sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial,28.17684252525778,-6.176842525257779
Lophuromys simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,NA,29.088395090222622,-6.0883950902226225
Lophuromys stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial,26.364595548647188,-3.3645955486471877
Lophuromys woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,26.906098010966545,-0.9060980109665451
Macruromys major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,49.28012008447154,3.719879915528459
Malacomys cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,31.131814269762124,11.868185730237876
Malacomys edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,29.09382416688217,3.9061758331178282
Malacomys longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,30.01623488516611,4.98376511483389
Mallomys aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal,73.78093500488426,-6.780935004884256
Mallomys gunung,422,NA,2000,7.3,14.7,0.1,-4.1,Forest,Arboreal,86.26597974263777,NA
Mallomys istapantap,398,NA,1888,16.8,23.5,9.9,-6.14,Forest,Arboreal,81.65164805778635,NA
Mallomys rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,76.43730753311341,-11.437307533113412
