Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,mass_impact,residuals
Myomyscus brockmani,104,21,30,23.7,31.1,15.2,3.73,Savanna,Terrestrial,26.26219252264571,-5.262192522645709
Myomyscus verreauxii,94,22,27,16.7,28,4.5,-33.25,Shrubland,Terrestrial,26.15023877279742,-4.150238772797419
Niviventer cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial,28.65053918607587,5.349460813924129
Niviventer coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial,30.441799183648495,3.558200816351505
Niviventer eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial,26.560735855574478,4.439264144425522
Niviventer hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial,27.381730021128597,-1.3817300211285968
Niviventer niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial,27.45636585436079,2.54363414563921
Niviventer rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial,27.195140438048114,2.8048595619518863
Notomys alexis,97,32,24,22.9,37.4,6.3,-25.02,Grassland,Terrestrial,26.03828502294913,5.961714977050871
Notomys aquilo,108,37,38,26.7,34.4,17.7,-13.94,Forest,Terrestrial,26.560735855574478,10.439264144425522
Notomys cervinus,108,34,40,23.8,38.6,6.8,-24.9,Desert,Terrestrial,26.63537168880667,7.364628311193329
Notomys fuscus,98,35,32,22.4,37.7,5.3,-27.74,Grassland,Terrestrial,26.3368283558779,8.663171644122102
Notomys mitchellii,112,37,50,17.8,30.4,3.5,-31.87,Shrubland,Terrestrial,27.008550854967634,9.991449145032366
Otomys angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial,28.613221269459775,-2.6132212694597747
Otomys auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,NA,29.88203043440705,-0.8820304344070493
Otomys barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial,29.322261685165607,-2.322261685165607
Otomys burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial,28.50126751961149,1.4987324803885116
Otomys irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial,29.28494376854951,-0.2849437685495104
Otomys karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial,29.17299001870122,-2.1729900187012205
Otomys laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial,31.300111265818714,-1.300111265818714
Otomys occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial,28.016134603602236,-0.016134603602235842
Otomys sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial,28.27736001991491,-0.27736001991490866
Otomys tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial,29.28494376854951,-0.2849437685495104
Otomys typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial,29.17299001870122,-4.1729900187012205
Parahydromys asper,225,53,540,18.7,25.1,12,-5.77,Forest,Terrestrial,45.29432999685484,7.705670003145158
Paraleptomys rufilatus,134,36,58,23.2,27.6,18.5,-3.19,Forest,Terrestrial,27.307094187896404,8.692905812103596
Paramelomys levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial,29.88203043440705,6.117969565592951
Paramelomys lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial,30.143255850719726,4.856744149280274
Paramelomys mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial,28.128088353450522,6.871911646549478
Paramelomys platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial,26.74732543865496,0.25267456134503874
Pelomys fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial,29.06103626885293,2.9389637311470693
Pelomys hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial,27.15782252143202,3.8421774785679794
Pelomys isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial,27.829545020521753,4.170454979478247
Pelomys minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial,26.971232938351537,-2.9712329383515375
Petromyscus collinus,80,16,100,18.8,31.7,4.2,-26.4,Desert,Terrestrial,28.87444668577245,-12.874446685772451
Petromyscus shortridgei,83,16,19,21.6,32.7,8.1,-18.61,Savanna,Terrestrial,25.851695439868646,-9.851695439868646
Phloeomys cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal,97.91259242555067,-17.91259242555067
Phloeomys pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal,116.57155073359884,-31.57155073359884
Pithecheir parvus,162,26,100,25.8,30.8,20.5,3.71,Forest,Arboreal,28.87444668577245,-2.874446685772451
Praomys daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial,26.41146418911009,-6.411464189110092
Praomys degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial,26.598053772190575,-1.5980537721905748
Praomys delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial,26.224874606029612,-2.224874606029612
Praomys derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial,26.3368283558779,-5.336828355877898
Praomys hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial,27.269776271280307,-1.269776271280307
Praomys misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial,26.44878210572619,-2.4487821057261883
Praomys morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial,26.74732543865496,-2.7473254386549613
Praomys mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial,26.82196127188715,-4.821961271887151
Praomys obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial,26.896597105119344,0.1034028948806558
Praomys rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial,27.008550854967634,-1.008550854967634
Praomys tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial,26.374146272493995,0.625853727506005
Praomys verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial,27.04586877158373,2.9541312284162693
Pseudohydromys carlae,96,21,15,15.4,21.9,9.2,-5.95,Forest,Terrestrial,25.702423773404263,-4.702423773404263
Pseudohydromys ellermani,96,21,17,17.7,24.1,11.1,-5.58,Forest,Terrestrial,25.777059606636456,-4.777059606636456
Pseudohydromys fuscus,96,22,19,17.8,24.5,10.7,-6.12,Forest,Terrestrial,25.851695439868646,-3.851695439868646
Pseudohydromys germani,94,21,26,19.7,25.5,13.4,-9.77,Forest,Terrestrial,26.112920856181322,-5.112920856181322
Pseudohydromys murinus,91,20,17,16.9,23.5,10.1,-6.53,Forest,Terrestrial,25.777059606636456,-5.777059606636456
Pseudohydromys patriciae,100,20,22,13.5,19.9,7,-4.13,Forest,Terrestrial,25.963649189716936,-5.963649189716936
Pseudohydromys pumehanae,99,22,18,21.7,28.9,13.9,-6.57,Forest,Terrestrial,25.814377523252553,-3.8143775232525527
Pseudohydromys sandrae,102,21,20,24.5,31.3,17.3,-6.12,Forest,Terrestrial,25.889013356484742,-4.8890133564847424
Pseudomys albocinereus,85,22,28,17.7,30.1,3.9,-31.55,Shrubland,Terrestrial,26.187556689413515,-4.1875566894135154
Pseudomys apodemoides,74,22,18,15.1,26.5,2.5,-36.23,Shrubland,Terrestrial,25.814377523252553,-3.8143775232525527
Pseudomys australis,101,26,42,21.3,35.9,5,-28.5,Grassland,Terrestrial,26.710007522038865,-0.7100075220388646
Pseudomys bolami,67,19,16,19.3,33.3,3.7,-30.21,Shrubland,Terrestrial,25.73974169002036,-6.7397416900203595
Pseudomys calabyi,85,18,20,27.4,36,17,-13.14,Forest,Terrestrial,25.889013356484742,-7.8890133564847424
Pseudomys chapmani,60,16,12,25.2,39.6,8.4,-22.77,Grassland,Terrestrial,25.590470023555973,-9.590470023555973
Pseudomys delicatulus,56,16,9,25,36,12.2,-18.68,Savanna,Terrestrial,25.478516273707683,-9.478516273707683
Pseudomys desertor,88,21,22,22.7,36.8,6.7,-25.07,Grassland,Terrestrial,25.963649189716936,-4.963649189716936
Pseudomys fieldi,102,26,40,22.9,32.9,12.4,-25.23,Shrubland,Terrestrial,26.63537168880667,-0.6353716888066714
Pseudomys fumeus,114,27,54,10.9,21.2,-0.6,-37.08,Forest,Terrestrial,27.15782252143202,-0.15782252143202058
Pseudomys gracilicaudatus,122,27,80,20.8,32.1,8.1,-24.2,Forest,Terrestrial,28.128088353450522,-1.1280883534505222
Pseudomys hermannsburgensis,70,17,13,22.8,37.3,6.4,-25.21,Grassland,Terrestrial,25.62778794017207,-8.62778794017207
Pseudomys higginsi,130,32,70,10.3,18.4,1.1,-42.02,Forest,Terrestrial,27.75490918728956,4.2450908127104405
Pseudomys johnsoni,66,16,13,26.2,38.4,11.9,-18.06,Savanna,Terrestrial,25.62778794017207,-9.62778794017207
Pseudomys nanus,115,25,38,26.8,37.9,13.8,-16.38,Savanna,Terrestrial,26.560735855574478,-1.5607358555744781
Pseudomys novaehollandiae,78,21,20,15.7,25.8,4.2,-32.47,Forest,Terrestrial,25.889013356484742,-4.8890133564847424
Pseudomys occidentalis,99,26,42,16.1,27.5,3.3,-33.37,Shrubland,Terrestrial,26.710007522038865,-0.7100075220388646
Pseudomys oralis,145,31,88,15.9,26.5,3.8,-29.69,Forest,Terrestrial,28.426631686379295,2.573368313620705
Pseudomys patrius,67,18,14,21.9,33.5,8.7,-22.36,Savanna,Terrestrial,25.665105856788166,-7.665105856788166
Pseudomys pilligaensis,76,18,12,17.6,31.4,2.3,-30.75,Forest,Terrestrial,25.590470023555973,-7.590470023555973
Pseudomys shortridgei,108,26,72,15.2,25.8,3.2,-34.63,Shrubland,Terrestrial,27.829545020521753,-1.8295450205217527
Rattus baluensis,169,30,110,20.2,26.6,13.7,6.07,Forest,Terrestrial,29.247625851933414,0.7523741480665862
Rattus blangorum,144,32,82,19.4,25.2,14.2,3.94,Forest,Terrestrial,28.202724186682715,3.7972758133172846
Rattus colletti,160,30,138,27.2,35,18.1,-12.77,Grassland,Terrestrial,30.292527517184112,-0.2925275171841122
Rattus everetti,222,46,355,25.7,31.6,19.6,11.95,Forest,Terrestrial,38.390515422877016,7.609484577122984
Rattus feliceus,215,46,308,25.5,30.3,20.2,-3.2,Forest,Terrestrial,36.63657334192049,9.363426658079511
Rattus fuscipes,182,34,101,15.9,26.2,4.2,-32.34,Forest,Terrestrial,28.911764602388548,5.088235397611452
Rattus hainaldi,133,30,81,20.3,25.5,14.6,-8.64,Forest,Terrestrial,28.16540627006662,1.8345937299333812
Rattus leucopus,158,35,94,26,32.1,19.2,-8.23,Forest,Terrestrial,28.65053918607587,6.349460813924129
Rattus lutreolus,145,28,78,14.6,24,4,-35.06,Forest,Terrestrial,28.053452520218332,-0.05345252021833247
Rattus nikenii,172,38,134,27,31,22.7,0.46,Forest,Terrestrial,30.143255850719726,7.856744149280274
Rattus norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial,30.62838876672898,8.371611233271022
Rattus rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial,29.620805018094376,4.3791949819056235
Rattus sordidus,169,31,165,25.1,33.4,15.9,-14.66,Forest,Terrestrial,31.300111265818714,-0.30011126581871395
Rattus timorensis,157,30,112,19.9,26.2,12.9,-9.56,Forest,Terrestrial,29.322261685165607,0.677738314834393
Rattus tunneyi,136,29,84,24.5,34.6,12.7,-18.48,Savanna,Terrestrial,28.27736001991491,0.7226399800850913
Rattus vandeuseni,125,31,60,18.4,24.1,12.2,-9.82,Forest,Terrestrial,27.381730021128597,3.6182699788714032
Rattus villosissimus,151,33,144,24.2,37.8,8.6,-22.16,Grassland,Terrestrial,30.51643501688069,2.4835649831193116
Rhabdomys dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,NA,26.598053772190575,-5.598053772190575
Rhabdomys intermedius,111,25,44,16,30.4,-0.1,-31.39,Grassland,NA,26.784643355271054,-1.7846433552710543
Steatomys caurinus,105,16,45,27.4,36.3,17,11.51,Shrubland,Terrestrial,26.82196127188715,-10.821961271887151
Steatomys cuppedius,72,16,12,28,38.5,15.8,13.58,Savanna,Terrestrial,25.590470023555973,-9.590470023555973
Steatomys jacksoni,101,18,25,26.4,32.8,18.9,7.56,Artificial Terrestrial,Terrestrial,26.075602939565226,-8.075602939565226
Steatomys opimus,120,19,40,24.4,30.6,17.4,4.58,Forest,Terrestrial,26.63537168880667,-7.635371688806671
Steatomys parvus,76,15,13,21.7,31,10.2,-10.29,Savanna,Terrestrial,25.62778794017207,-10.62778794017207
Steatomys pratensis,88,16,24,22,31.8,10.4,-12.88,Savanna,Terrestrial,26.03828502294913,-10.038285022949129
Stenocephalemys albipes,132,27,59,19,27.5,9.7,8.99,Savanna,Terrestrial,27.3444121045125,-0.34441210451250015
Stenocephalemys albocaudata,164,32,130,12.5,20.4,3.8,7.21,Shrubland,Terrestrial,29.99398418425534,2.006015815744661
Stenocephalemys griseicauda,154,30,99,15.5,24.3,6.1,9.99,Shrubland,Terrestrial,28.837128769156354,1.1628712308436455
Taeromys arcuatus,215,47,227,19.9,25.4,14.2,-1.8,Forest,Terrestrial,33.61382209601668,13.386177903983317
Taeromys callitrichus,234,53,319,23.1,28,18.2,0.19,Forest,Terrestrial,37.04707042469755,15.952929575302448
Taeromys celebensis,224,50,253,24.7,29.6,19.6,-1.32,Forest,Scansorial,34.58408792803519,15.415912071964812
Taeromys hamatus,198,44,182,18.2,23.9,12.4,-2.17,Forest,Terrestrial,31.93451584829235,12.06548415170765
Taterillus arenarius,121,31,42,29,41.2,14.8,17.34,Desert,Terrestrial,26.710007522038865,4.289992477961135
Taterillus congicus,120,30,49,25.5,32.9,16.7,6.85,Savanna,Terrestrial,26.971232938351537,3.0287670616484625
Taterillus gracilis,119,31,55,27.4,36.7,16.5,11.76,Savanna,Terrestrial,27.195140438048114,3.8048595619518863
Taterillus lacustris,116,31,46,28.1,39.5,14.7,12.31,Savanna,Terrestrial,26.859279188503248,4.140720811496752
Taterillus petteri,114,30,50,28.9,39.7,16.2,14.66,Grassland,Terrestrial,27.008550854967634,2.991449145032366
Taterillus tranieri,124,31,47,29.2,41.8,15.4,15.87,Grassland,Terrestrial,26.896597105119344,4.103402894880656
Thallomys loringi,144,27,80,18.9,25.8,11.4,0.24,Savanna,Scansorial,28.128088353450522,-1.1280883534505222
Thallomys nigricauda,135,25,74,21.1,34.2,5.8,-22.15,Shrubland,Scansorial,27.904180853753946,-2.904180853753946
Thallomys paedulcus,140,25,72,22.2,31.6,11.1,-12.23,Shrubland,Scansorial,27.829545020521753,-2.8295450205217527
Tokudaia muenninki,149,34,148,21.9,29.9,13.2,26.74,Forest,Terrestrial,30.665706683345075,3.334293316654925
Uromys caudimaculatus,295,61,868,24.2,30.1,17.8,-6.31,Forest,Scansorial,57.534606646934435,3.465393353065565
Uromys hadrourus,178,38,172,21,28.2,12.6,-16.44,Forest,Scansorial,31.561336682131387,6.438663317868613
Zyzomys argurus,100,21,36,25.5,36.8,12.4,-18.19,Savanna,Terrestrial,26.486100022342285,-5.486100022342285
Zyzomys maini,118,27,125,27.1,36,16.8,-13.3,Forest,Terrestrial,29.80739460117486,-2.8073946011748596
Zyzomys palatalis,165,28,125,25.9,37.1,13,-17.2,Savanna,Terrestrial,29.80739460117486,-1.8073946011748596
Zyzomys pedunculatus,117,26,65,20.6,34.7,4.6,-23.68,Shrubland,Terrestrial,27.56831960420908,-1.56831960420908
Zyzomys woodwardi,138,28,145,26.9,36,15.8,-15.4,Savanna,Terrestrial,30.553752933496785,-2.553752933496785
