Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Dendromus melanotis,69,18,7,20.7,31.6,8,-16.18,Savanna,Terrestrial
Dendromus messorius,60,17,8,23.3,29.5,16.5,3.42,Grassland,Terrestrial
Dendromus nyikae,67,17,10,21.2,31.2,9.3,-13.02,Savanna,Terrestrial
Dendromus oreas,69,19,11,21.6,26.8,16.4,4.42,Grassland,Terrestrial
Dendromus ruppi,74,20,11,21.2,27.8,14.3,4.02,Forest,Terrestrial
Deomys ferrugineus,137,38,76,23.8,29.2,17.9,0.48,Forest,Terrestrial
Dephomys defua,126,26,47,25.9,32.1,18.7,6.75,Forest,Arboreal
Desmodillus auricularis,109,25,46,19.6,33.1,4.1,-25.16,Desert,Terrestrial
Desmomys harringtoni,136,28,65,19,27.6,9.6,9.45,Savanna,Scansorial
Desmomys yaldeni,124,28,47,18.7,26.4,10.3,7.51,Forest,Scansorial
Dinomys branickii,760,,12500,23,28.9,16.6,-5.7,Forest,Terrestrial
Echiothrix leucura,213,51,274,24.4,29,19.9,1.08,Forest,Terrestrial
Gerbilliscus boehmi,162,41,146,20.9,29.8,10.5,-9.52,Savanna,Terrestrial
Gerbilliscus gambiana,157,31,94,27.6,37.8,16.2,13.58,Savanna,Terrestrial
Gerbilliscus guineae,141,33,73,26.8,34.9,17.3,10.78,Savanna,Terrestrial
Gerbilliscus inclusus,156,41,116,23.6,32,14,-14.23,Savanna,Terrestrial
Gerbilliscus kempi,158,33,101,25.7,33.2,17,7.26,Savanna,Terrestrial
Gerbilliscus robustus,152,35,103,25.5,34.5,15.5,7.63,Savanna,Terrestrial
Gerbilliscus validus,167,34,129,23.2,31.9,13.2,-4.73,Savanna,Terrestrial
Gerbillurus paeba,96,27,25,20.1,33.2,4.8,-24.5,Savanna,Terrestrial
Gerbillurus setzeri,106,32,37,20.2,29.8,9.6,-20.07,Desert,Terrestrial
Gerbillurus tytonis,99,33,25,18.7,29.5,6.4,-24.97,Desert,Terrestrial
Gerbillurus vallinus,94,30,36,19.1,33.4,2.9,-27.62,Desert,Terrestrial
Gerbillus amoenus,80,23,13,22.7,37.4,5.6,25.67,Desert,Terrestrial
Gerbillus bottai,86,20,23,28.6,40.1,16.1,13.98,Artificial Terrestrial,Terrestrial
Gerbillus campestris,103,27,29,18.9,34.1,2.8,31.2,Desert,Terrestrial
Gerbillus cosensis,100,26,32,25.1,32.1,17.8,2.27,Desert,Terrestrial
Gerbillus dasyurus,91,25,24,23.3,38.6,5.7,26.8,Desert,Terrestrial
Gerbillus dunni,98,30,39,26.7,35.3,17.9,7.93,Shrubland,Terrestrial
Gerbillus floweri,117,35,54,20,33.9,3.8,29.89,Desert,Terrestrial
Gerbillus harwoodi,75,20,14,20.2,27.4,12.2,-3.01,Savanna,Terrestrial
Gerbillus lowei,104,26,36,21.1,31.5,8.2,13,Rocky Areas,Terrestrial
Gerbillus maghrebi,112,27,43,16.9,30.4,3.5,33.66,Grassland,Terrestrial
Gerbillus nancillus,65,18,9,28.1,39.9,14.5,15.15,Grassland,Terrestrial
Gerbillus nigeriae,93,27,26,26.1,37.2,13.9,19.16,Desert,Terrestrial
Gerbillus percivali,75,20,14,22.6,30,14.8,-3.35,Savanna,Terrestrial
Gerbillus perpallidus,107,33,36,20.6,33.5,5.7,30.38,Desert,Terrestrial
Gerbillus pusillus,66,20,15,25,32.8,16.9,4.13,Savanna,Terrestrial
Gerbillus rosalinda,97,25,28,27.4,38.5,15.3,12.3,Grassland,Terrestrial
Gerbillus rupicola,101,26,36,28.2,40.2,15,15.41,Grassland,Terrestrial
Gerbillus simoni,81,21,17,18.1,32.9,2.2,33.82,Desert,Terrestrial
Grammomys aridulus,114,23,43,23.3,34.6,9.4,13.14,Shrubland,Arboreal
Grammomys caniceps,97,21,28,26.6,31.9,20.3,0.4,Shrubland,Arboreal
Grammomys cometes,118,24,52,21.8,32.3,10.2,-24.59,Savanna,Arboreal
Grammomys dolichurus,112,24,35,21.6,30.2,11.7,-10.27,Savanna,Arboreal
Grammomys dryas,112,24,43,16.8,22.3,11.1,-1.43,Forest,Arboreal
Grammomys ibeanus,120,26,47,19.5,27.2,11.1,-4.67,Savanna,Arboreal
Grammomys kuru,114,25,53,24.3,29.8,18.1,2.37,Forest,Arboreal
Grammomys macmillani,105,24,34,24.9,32.4,16.3,2.82,Savanna,Arboreal
Hadromys yunnanensis,132,26,59,19.6,29.5,8.1,24.27,Unknown,Terrestrial
Haeromys minahassae,76,20,14,24.8,29.5,20.1,0.54,Forest,Arboreal
Hybomys badius,122,29,64,18.1,23.6,13.1,4.25,Forest,Terrestrial
Hybomys basilii,137,31,86,19.7,24.9,15.1,3.48,Forest,Terrestrial
